house_id		household_id		plug_id		average_work		average_load
39		8		10		35		6.794612794612794612794612795
4		12		1		1		0
4		13		2		1		0
4		4		5		4		0
4		5		6		1		0
4		7		12		1		0
6		1		8		1		0
7		2		6		4		0
16		10		3		174		340.8862876254180602006688963
16		8		5		174		330.9464882943143812709030100
2		2		7		68		37.57666666666666666666666667
33		0		0		68		19.56333333333333333333333333
36		6		1		12		8.127090301003344481605351171
8		1		6		12		11.72575250836120401337792642
8		2		3		174		241.3456375838926174496644295
17		2		0		0		0.03603603603603603603603603604
2		5		2		0		0.03603603603603603603603603604
36		1		8		0		0.03603603603603603603603603604
14		14		7		1		0
21		3		1		1		0
33		7		5		1		0
36		5		4		1		0
4		0		9		1		0
7		10		2		1		0
7		3		1		1		0
8		0		5		1		0
26		2		3		2		0
26		3		0		3		0
26		4		9		174		108.2240802675585284280936455
26		5		6		1		0
9		2		4		35		16.48657718120805369127516779
34		5		2		3		0
37		7		7		4		0
14		12		9		1		0
4		10		5		1		0
16		6		5		1		0
14		6		3		68		45.88628762541806020066889632
16		7		2		68		20.45666666666666666666666667
24		6		1		68		39.03344481605351170568561873
4		11		2		68		46.19127516778523489932885906
37		5		1		0		0.03603603603603603603603603604
9		1		1		1		0
28		0		5		4		0
28		1		6		1		0
32		3		0		2		0
32		4		5		2		0
36		0		9		3		0
36		1		10		1		0
36		6		3		1		0
39		11		11		68		19.36577181208053691275167785
39		2		0		12		14.18120805369127516778523490
39		4		2		2		0
39		5		1		1		0
9		3		5		12		15.62207357859531772575250836
0		6		11		12		31.37248322147651006711409396
32		5		6		1		0
13		1		3		4		0
39		7		7		2		0
7		10		0		3		0
0		3		0		68		42.05704697986577181208053691
36		5		6		0		0.03603603603603603603603603604
28		7		0		1		0
29		0		12		3		0
2		2		5		174		138.3846153846153846153846154
7		2		4		4		0
7		3		3		68		63.43771043771043771043771044
11		2		8		3		0
14		14		5		3		0
17		2		2		35		11.07692307692307692307692308
2		5		0		35		3.107382550335570469798657718
2		3		6		1		0
22		1		0		4		0
14		9		0		68		52.80333333333333333333333333
17		3		1		0		0.03603603603603603603603603604
2		0		11		1		0
33		4		12		1		0
28		15		4		12		19.38590604026845637583892617
28		8		1		2		0
3		1		5		3		0
3		3		3		12		18.86622073578595317725752508
32		11		4		1		0
33		8		6		4		0
33		9		9		12		22.91973244147157190635451505
39		13		5		4		0
8		0		7		1		0
8		2		1		2		0
4		5		4		68		84.16498316498316498316498316
0		12		1		3		0
21		2		0		1		0
32		13		2		0		0
35		0		6		1		0
38		5		0		0		0
16		0		3		35		4.304347826086956521739130435
16		9		4		3		0
18		0		1		3		0
20		1		2		12		6.976510067114093959731543624
21		3		3		12		20.64882943143812709030100334
21		4		6		35		7.622895622895622895622895623
8		1		4		0		0
0		13		2		4		0
16		1		0		1		0
20		0		1		1		0
21		11		7		1		0
39		8		8		2		0
4		4		7		3		0
5		0		0		3		0
16		8		7		0		0.03636363636363636363636363636
21		10		4		68		31.43
21		12		2		0		0.01818181818181818181818181818
21		6		12		68		70.71
28		9		2		0		0.03603603603603603603603603604
3		0		6		0		0.03603603603603603603603603604
4		12		3		0		0.03603603603603603603603603604
16		10		1		1		0
20		7		4		1		0
21		9		9		1		0
25		0		6		1		0
25		1		9		1		0
32		12		1		1		0
4		6		1		1		0
25		1		0		3		0
25		4		9		2		0
28		0		10		3		0
28		2		4		12		6.053691275167785234899328859
32		5		9		4		0
32		6		4		2		0
33		11		6		3		0
33		2		1		1		0
33		3		4		2		0
33		9		0		12		15.82608695652173913043478261
36		3		1		3		0
37		5		6		3		0
39		0		1		4		0
39		1		2		2		0
37		4		9		174		269.0469798657718120805369128
37		6		3		1		0
4		12		12		68		38.41077441077441077441077441
9		0		9		12		13.35785953177257525083612040
9		2		3		2		0
6		1		3		4		0
1		1		2		3		0
21		13		2		1		0
11		0		11		3		0
14		6		4		3		0
26		3		7		1		0
26		5		1		0		0
32		4		10		1		0
36		2		6		1		0
16		0		10		35		3.414715719063545150501672241
4		10		2		0		0
4		2		0		0		0
21		3		10		35		3.622073578595317725752508361
21		5		0		3		0
9		1		6		0		0
26		2		4		35		7.076923076923076923076923077
16		0		12		1		0
16		1		9		4		0
16		6		2		4		0
18		3		3		4		0
39		6		7		35		6.432885906040268456375838926
4		13		9		12		14.92307692307692307692307692
4		3		1		12		29.33779264214046822742474916
0		6		4		68		76.55666666666666666666666667
1		2		1		0		0.03603603603603603603603603604
18		2		0		68		39.11333333333333333333333333
18		3		5		68		29.40468227424749163879598662
21		13		4		0		0.07207207207207207207207207207
21		6		5		68		34.69666666666666666666666667
28		3		3		0		0.03603603603603603603603603604
36		2		0		0		0.03603603603603603603603603604
37		7		0		0		0.04504504504504504504504504505
0		7		3		1		0
33		1		2		1		0
4		12		10		1		0
6		1		5		1		0
24		3		5		68		45.63333333333333333333333333
24		4		0		4		0
26		4		0		1		0
28		17		1		3		0
29		0		3		3		0
33		4		3		12		12.75250836120401337792642140
38		10		0		3		0
11		2		5		1		0
14		8		2		0		0
7		1		0		1		0
10		4		6		2		0
11		5		0		12		14.14381270903010033444816054
14		14		10		12		7.317725752508361204013377926
14		6		10		35		9.446308724832214765100671141
28		16		2		1		0
33		5		4		1		0
16		5		1		12		40.89297658862876254180602007
2		0		4		3		0
2		4		2		3		0
22		2		4		12		9.314381270903010033444816054
22		3		7		2		0
14		10		4		1		0
2		3		9		1		0
7		0		3		3		0
7		2		9		35		15.91610738255033557046979866
15		0		7		68		65.42666666666666666666666667
16		4		2		0		0.07207207207207207207207207207
22		0		2		68		37.18
26		3		9		0		0.03603603603603603603603603604
34		4		2		0		0.03603603603603603603603603604
21		8		3		1		0
24		0		12		1		0
37		0		1		1		0
0		13		7		35		5.528428093645484949832775920
0		8		8		0		0
10		0		6		0		0
14		15		9		12		12.66442953020134228187919463
15		0		9		1		0
12		1		3		0		0
14		11		1		1		0
19		0		5		4		0
2		4		4		4		0
20		0		4		1		0
15		2		9		35		4.687919463087248322147651007
20		4		8		1		0
22		3		1		2		0
24		3		3		12		12.89632107023411371237458194
27		1		4		68		52.32333333333333333333333333
27		9		6		4		0
28		9		7		1		0
32		11		1		1		0
32		13		7		68		20.86666666666666666666666667
24		0		10		35		5.317725752508361204013377926
28		15		1		35		6.672240802675585284280936455
3		3		6		3		0
32		12		4		3		0
35		0		3		2		0
35		1		0		1		0
37		1		0		35		5.614093959731543624161073826
7		0		5		68		27.31543624161073825503355705
39		12		3		3		0
39		13		0		3		0
0		12		4		1		0
12		0		0		12		10.24496644295302013422818792
14		12		4		174		312.1571906354515050167224080
14		13		3		12		17.79933110367892976588628763
10		1		1		4		0
14		10		2		4		0
3		1		0		174		377.8896321070234113712374582
0		11		1		1		0
0		9		11		1		0
20		7		1		1		0
22		0		4		1		0
8		2		6		3		0
0		10		0		3		0
0		13		9		3		0
0		9		5		0		0
10		0		0		0		0
16		10		6		3		0
20		5		5		2		0
21		4		1		68		55.50333333333333333333333333
25		0		1		4		0
27		7		4		12		16.12416107382550335570469799
28		12		6		4		0
28		14		0		1		0
32		10		0		12		30.02341137123745819397993311
16		8		0		0		0
20		4		6		35		11.31438127090301003344481605
21		3		4		3		0
21		6		11		35		9.849498327759197324414715719
23		3		4		35		7.093959731543624161073825503
27		1		2		0		0
27		3		2		3		0
32		9		5		4		0
33		8		1		1		0
28		13		5		3		0
36		4		0		3		0
38		6		2		3		0
38		7		1		3		0
8		0		0		12		14.24749163879598662207357860
8		1		3		68		34.34563758389261744966442953
4		4		0		0		0
23		2		3		174		293.0234113712374581939799331
28		9		9		174		238.1170568561872909698996656
35		2		9		174		165.8422818791946308724832215
16		9		3		0		0.03603603603603603603603603604
20		6		0		0		0.07207207207207207207207207207
27		6		3		0		0.07207207207207207207207207207
4		7		9		0		0.07207207207207207207207207207
0		0		4		1		0
32		13		9		1		0
0		1		1		3		0
0		2		4		4		0
13		1		8		1		0
14		0		0		2		0
28		5		1		1		0
32		0		2		1		0
32		2		4		1		0
39		11		0		4		0
4		9		1		2		0
7		9		2		1		0
14		3		5		174		315.1342281879194630872483221
21		10		9		12		18.15719063545150501672240803
21		9		4		68		50.33
28		6		4		12		7.274247491638795986622073579
32		7		3		68		60.39
4		8		2		0		0
7		8		1		68		47.26174496644295302013422819
28		4		2		1		0
0		0		2		12		9.892976588628762541806020067
27		0		1		0		0
28		6		2		2		0
32		0		4		0		0
32		2		2		174		565.5234899328859060402684564
36		5		3		0		0.03603603603603603603603603604
36		6		6		2		0
0		1		7		1		0
0		2		2		174		258.0936454849498327759197324
28		4		4		35		3.104026845637583892617449664
39		11		6		3		0
39		2		5		68		23.68456375838926174496644295
39		3		2		3		0
7		10		5		3		0
9		3		0		12		13.28762541806020066889632107
14		1		1		2		0
39		10		1		1		0
0		1		10		1		0
11		0		0		2		0
16		1		4		3		0
16		2		1		3		0
16		2		3		3		0
16		8		9		3		0
18		1		0		1		0
18		1		2		3		0
21		11		1		2		0
21		11		3		3		0
21		9		13		2		0
22		2		11		1		0
24		0		3		3		0
24		1		0		35		6.732441471571906354515050167
26		0		1		3		0
31		0		6		1		0
32		0		9		1		0
32		7		8		35		7.535117056856187290969899666
37		2		4		3		0
37		4		2		1		0
4		12		5		1		0
4		13		4		1		0
4		13		6		2		0
6		2		1		1		0
7		4		0		1		0
11		1		3		12		15.35117056856187290969899666
14		4		1		174		131.2040133779264214046822742
16		0		7		68		37.06
18		3		8		12		11.13712374581939799331103679
21		10		0		0		0
21		12		6		12		8.214046822742474916387959866
24		3		10		174		172.5217391304347826086956522
29		2		0		12		15.81144781144781144781144781
29		2		2		12		16.05685618729096989966555184
33		7		3		12		9.110367892976588628762541806
37		5		13		12		11.27759197324414715719063545
39		8		6		0		0
4		0		5		0		0
4		12		7		12		20.89966555183946488294314381
4		4		9		68		57.31081081081081081081081081
4		7		0		68		56.61409395973154362416107383
6		3		2		0		0
7		7		5		0		0
9		0		2		0		0
21		12		4		0		0.03636363636363636363636363636
37		7		11		0		0.07207207207207207207207207207
16		1		6		1		0
21		10		2		1		0
28		4		9		1		0
33		7		1		1		0
35		2		0		1		0
25		4		4		174		249.4715719063545150501672241
29		0		10		0		0.07207207207207207207207207207
29		0		8		2		0
30		1		2		1		0
33		4		10		2		0
33		4		8		1		0
36		0		5		1		0
38		9		2		174		284.2491582491582491582491582
7		2		0		1		0
7		5		1		0		0.03603603603603603603603603604
14		14		3		68		79.53511705685618729096989967
14		9		4		12		26.74916387959866220735785953
18		4		7		3		0
2		0		13		12		21.98662207357859531772575251
2		2		1		3		0
2		2		3		174		188.0872483221476510067114094
2		5		4		12		24.99331103678929765886287625
33		6		0		3		0
36		1		6		1		0
7		2		2		3		0
7		3		5		68		37.44966442953020134228187919
8		3		0		12		18.08724832214765100671140940
15		2		6		4		0
15		3		1		2		0
2		5		6		1		0
21		8		10		1		0
14		14		1		1		0
21		8		8		1		0
14		9		6		0		0.03603603603603603603603603604
2		3		0		0		0.03603603603603603603603603604
28		0		3		0		0.06306306306306306306306306306
28		1		0		1		0
28		1		2		4		0
28		10		3		1		0
32		4		1		1		0
33		1		13		4		0
35		0		10		1		0
36		0		7		0		0
36		1		4		0		0.07207207207207207207207207207
36		5		8		1		0
39		7		3		0		0.02702702702702702702702702703
0		6		13		1		0
0		7		8		3		0
13		1		7		174		544.3779264214046822742474916
20		2		3		174		262.3110367892976588628762542
25		4		6		1		0
25		5		1		3		0
28		0		1		35		3.494983277591973244147157191
28		11		4		1		0
28		7		4		68		45.82666666666666666666666667
3		2		0		3		0
32		5		0		3		0
32		5		2		1		0
39		11		13		68		44.89261744966442953020134228
39		13		9		3		0
39		14		0		3		0
39		5		5		3		0
39		5		7		3		0
39		7		1		68		69.37919463087248322147651007
8		3		2		35		14.39527027027027027027027027
0		0		9		4		0
0		4		1		2		0
0		5		0		4		0
0		5		2		1		0
13		0		0		1		0
13		1		5		1		0
21		1		1		4		0
18		4		5		1		0
23		0		2		4		0
23		1		3		3		0
23		1		1		12		12.40802675585284280936454849
27		4		2		0		0
27		5		3		0		0
31		0		4		0		0
27		4		0		3		0
27		5		1		1		0
38		2		5		0		0
38		3		4		0		0
39		8		4		35		3.718120805369127516778523490
4		0		7		35		10.14429530201342281879194631
6		2		3		35		2.879194630872483221476510067
35		2		2		1		0
12		2		5		3		0
15		2		4		4		0
4		5		8		4		0
4		7		2		3		0
8		1		8		2		0
14		17		0		0		0
15		3		3		68		50.59531772575250836120401338
38		0		1		1		0
38		9		0		68		23.80808080808080808080808081
12		3		0		35		11.93645484949832775919732441
16		8		11		0		0.03603603603603603603603603604
23		0		0		0		0.1081081081081081081081081081
28		4		11		0		0.03603603603603603603603603604
12		2		7		1		0
24		0		1		2		0
24		3		8		2		0
26		0		3		3		0
37		2		6		4		0
37		4		0		2		0
37		7		9		68		47.41610738255033557046979866
14		10		9		0		0
7		7		7		4		0
11		0		2		12		12.73913043478260869565217391
11		1		1		2		0
14		5		4		2		0
9		0		0		0		0
22		2		9		4		0
24		1		2		35		7.645484949832775919732441472
7		4		2		0		0.1081081081081081081081081081
24		7		0		3		0
34		2		1		12		28.74581939799331103678929766
34		2		3		12		11.10702341137123745819397993
39		13		11		2		0
39		14		2		1		0
14		12		13		35		6.391304347826086956521739130
14		15		2		3		0
24		7		2		174		181.2006688963210702341137124
28		10		1		174		233.0401337792642140468227425
3		0		8		0		0
3		3		13		0		0
34		5		4		0		0
35		0		8		0		0
17		1		1		2		0
17		1		3		12		12.12374581939799331103678930
34		3		0		35		16.64093959731543624161073826
0		0		11		68		20.33333333333333333333333333
14		15		0		0		0.07207207207207207207207207207
20		2		1		1		0
3		2		2		1		0
5		1		0		2		0
8		0		4		35		9.117449664429530201342281879
8		1		7		35		13.00335570469798657718120805
8		2		2		3		0
0		1		5		35		18.33779264214046822742474916
0		2		0		0		0
0		9		9		3		0
1		0		1		35		4.308724832214765100671140940
16		1		3		1		0
16		10		2		12		27.60869565217391304347826087
16		8		4		2		0
13		1		12		1		0
18		0		2		2		0
16		0		0		35		4.558528428093645484949832776
20		1		5		1		0
20		4		10		68		25.66889632107023411371237458
20		7		3		68		31.74333333333333333333333333
21		4		5		2		0
28		15		3		2		0
28		4		6		1		0
28		6		0		1		0
3		1		2		4		0
3		3		4		2		0
32		11		3		1		0
32		12		6		1		0
32		2		0		1		0
20		0		6		35		6.732441471571906354515050167
21		10		7		0		0
21		9		10		3		0
25		1		10		3		0
3		0		1		3		0
32		13		5		3		0
33		8		5		68		33.77666666666666666666666667
35		0		1		12		10.29431438127090301003344482
39		11		4		12		11.97324414715719063545150502
39		12		1		68		19.94630872483221476510067114
39		13		2		4		0
33		0		1		3		0
38		4		0		0		0
39		8		11		1		0
4		12		0		68		25.61409395973154362416107383
4		5		7		4		0
39		7		8		35		8.090604026845637583892617450
4		0		8		35		9.234899328859060402684563758
4		13		3		0		0
0		13		5		12		19.83946488294314381270903010
4		4		4		3		0
4		7		13		3		0
21		11		4		174		343.9230769230769230769230769
21		2		3		174		192.2742474916387959866220736
25		0		5		174		418.4615384615384615384615385
32		0		6		174		417.1237458193979933110367893
28		9		5		0		0.03603603603603603603603603604
0		11		3		1		0
33		7		4		1		0
35		1		2		1		0
7		10		1		174		123.3164983164983164983164983
8		1		1		2		0
14		14		4		68		74.59666666666666666666666667
14		9		1		3		0
16		10		4		35		7.110367892976588628762541806
21		3		6		1		0
21		4		3		2		0
21		6		9		12		10.13712374581939799331103679
25		1		12		1		0
29		0		13		1		0
16		8		2		3		0
18		2		2		3		0
2		5		1		3		0
25		0		3		3		0
33		2		5		4		0
33		8		3		2		0
35		2		11		2		0
36		1		11		4		0
36		2		4		1		0
36		3		3		2		0
36		5		7		1		0
36		6		2		4		0
33		1		0		3		0
36		0		8		35		14.00336700336700336700336700
4		3		3		1		0
4		4		2		2		0
4		7		11		2		0
39		8		13		35		11.94630872483221476510067114
9		3		4		1		0
4		5		1		0		0
7		3		2		0		0
1		2		5		174		244.8795986622073578595317726
11		2		9		174		184.6421404682274247491638796
16		9		1		174		135.4615384615384615384615385
17		3		0		174		235.2040133779264214046822742
2		2		4		174		254.6655518394648829431438127
4		13		13		174		105.1418918918918918918918919
22		1		1		0		0.03603603603603603603603603604
6		1		7		0		0.09009009009009009009009009009
7		2		5		0		0.03603603603603603603603603604
18		3		1		1		0
2		3		7		1		0
21		13		0		1		0
10		0		4		3		0
11		0		9		2		0
12		2		2		35		5.264214046822742474916387960
12		3		5		4		0
14		16		2		2		0
14		6		6		3		0
15		1		0		3		0
16		6		0		3		0
24		5		1		35		7.715719063545150501672240803
26		3		5		35		9.311036789297658862876254181
26		5		3		3		0
27		5		4		3		0
30		0		2		3		0
37		2		13		3		0
37		5		4		1		0
37		7		2		1		0
38		2		0		2		0
38		3		3		35		9.932885906040268456375838926
4		10		0		3		0
9		0		11		4		0
9		2		1		35		7.432885906040268456375838926
12		0		2		174		218.8193979933110367892976589
15		2		11		174		117.7959866220735785953177258
23		1		4		0		0
26		2		6		12		6.063545150501672240802675585
26		4		12		68		115.6187290969899665551839465
37		8		1		12		11.24749163879598662207357860
9		1		4		68		27.91582491582491582491582492
12		1		1		0		0.07207207207207207207207207207
17		1		8		0		0.03603603603603603603603603604
38		8		2		0		0.03636363636363636363636363636
27		1		6		1		0
27		2		1		1		0
24		3		7		3		0
24		6		2		68		35.48494983277591973244147157
24		7		5		3		0
26		3		3		12		11.96321070234113712374581940
26		4		10		4		0
34		2		4		68		22.21140939597315436241610738
37		2		11		12		14.82608695652173913043478261
37		7		4		2		0
39		2		7		3		0
39		3		0		1		0
37		5		2		1		0
37		6		7		1		0
9		1		2		1		0
9		3		2		12		29.88294314381270903010033445
11		2		7		174		170.0334448160535117056856187
2		4		0		0		0
7		10		7		1		0
7		7		10		174		391.6812080536912751677852349
9		0		13		1		0
24		4		2		174		223.8227424749163879598662207
11		4		1		2		0
14		10		6		2		0
14		12		10		12		12.27090301003344481605351171
14		15		7		35		7.080536912751677852348993289
14		7		3		12		31.82943143812709030100334448
14		8		0		3		0
36		5		1		1		0
36		6		4		0		0
16		7		1		3		0
4		11		1		0		0
22		2		6		12		20.72240802675585284280936455
17		1		6		4		0
22		0		0		1		0
37		0		3		35		4.592592592592592592592592593
7		0		1		2		0
26		5		5		0		0.03603603603603603603603603604
11		5		2		1		0
14		6		0		1		0
22		3		5		1		0
34		4		0		1		0
37		1		4		1		0
28		15		5		35		5.505016722408026755852842809
3		0		7		0		0
3		1		4		12		8.923076923076923076923076923
3		3		2		35		4.859531772575250836120401338
28		0		4		2		0
28		1		7		3		0
28		7		1		3		0
39		7		6		0		0
0		13		3		174		379.6688963210702341137123746
32		12		0		2		0
32		4		4		1		0
0		3		1		174		191.5050167224080267558528428
35		3		2		3		0
13		1		2		174		228.2040133779264214046822742
38		5		1		1		0
39		5		0		3		0
5		0		1		2		0
20		7		5		3		0
20		0		0		0		0
20		1		3		68		23.24333333333333333333333333
28		9		3		1		0
32		13		3		68		79.50333333333333333333333333
39		13		4		1		0
39		4		3		68		45.46308724832214765100671141
5		1		6		1		0
0		12		0		35		9.016722408026755852842809365
0		6		10		35		4.648829431438127090301003344
32		11		5		0		0.03603603603603603603603603604
32		5		7		0		0.07272727272727272727272727273
35		0		7		0		0.03603603603603603603603603604
38		10		2		2		0
10		4		4		174		232.9331103678929765886287625
15		0		5		1		0
27		3		0		12		12.60200668896321070234113712
12		2		12		1		0
0		0		6		35		3.046979865771812080536912752
27		7		3		1		0
28		13		2		1		0
28		4		13		2		0
31		0		0		3		0
31		0		2		68		42.49666666666666666666666667
35		2		4		12		14.97324414715719063545150502
38		1		0		3		0
14		2		3		0		0
6		3		4		1		0
6		3		6		1		0
20		6		7		1		0
14		3		0		35		6.324414715719063545150501672
27		6		4		0		0
28		6		9		174		139.0066889632107023411371237
29		1		1		1		0
32		8		1		174		605.5719063545150501672240803
16		3		2		35		3.769230769230769230769230769
16		8		13		3		0
21		10		12		3		0
21		9		1		3		0
0		1		12		1		0
28		12		1		35		9.952861952861952861952861953
20		5		2		1		0
20		7		8		1		0
32		9		2		35		7.655518394648829431438127090
35		2		6		35		3.560402684563758389261744966
39		8		0		2		0
39		8		2		3		0
4		7		6		3		0
4		9		4		3		0
7		8		4		12		16.10367892976588628762541806
0		9		2		0		0.03603603603603603603603603604
16		10		9		68		63.87333333333333333333333333
20		3		0		0		0.06306306306306306306306306306
28		15		8		0		0.02702702702702702702702702703
32		7		6		0		0.03603603603603603603603603604
4		0		1		0		0.07272727272727272727272727273
7		9		7		0		0.03603603603603603603603603604
0		8		1		1		0
20		4		1		1		0
23		3		3		1		0
28		14		7		1		0
26		4		5		1		0
32		7		4		12		21.85618729096989966555183946
33		1		9		1		0
36		1		0		3		0
4		1		0		68		79.26510067114093959731543624
7		9		5		3		0
18		4		1		1		0
4		9		6		1		0
14		2		1		35		3.458193979933110367892976589
14		9		10		2		0
29		0		6		1		0
21		13		9		3		0
21		9		3		3		0
14		3		2		4		0
16		5		4		4		0
21		8		6		1		0
33		5		1		35		4.617449664429530201342281879
7		10		10		3		0
16		3		0		68		40.53666666666666666666666667
21		0		2		68		29.81
33		4		6		0		0.03603603603603603603603603604
36		0		3		0		0.03636363636363636363636363636
25		4		2		1		0
6		0		1		1		0
0		8		3		1		0
10		3		0		1		0
14		9		8		35		7.066889632107023411371237458
15		2		2		2		0
16		4		5		3		0
16		5		6		4		0
2		0		3		3		0
2		5		8		1		0
20		5		0		3		0
23		3		1		1		0
26		5		8		2		0
27		6		6		3		0
28		12		3		35		3.712374581939799331103678930
28		13		0		2		0
28		14		5		35		5.731543624161073825503355705
29		0		4		3		0
32		13		12		3		0
33		4		4		3		0
38		9		4		1		0
0		9		0		0		0
10		2		3		174		325.6208053691275167785234899
20		4		3		174		244.8662207357859531772575251
20		6		5		0		0
26		4		7		12		15.89966555183946488294314381
27		7		1		68		35.18791946308724832214765101
28		16		5		0		0
28		9		12		0		0
15		3		5		0		0.03603603603603603603603603604
32		9		0		0		0.07207207207207207207207207207
10		2		1		1		0
33		5		3		1		0
25		1		5		2		0
27		8		2		2		0
3		2		4		4		0
32		5		12		1		0
33		9		5		174		402.8484848484848484848484848
35		0		12		2		0
39		1		7		2		0
39		13		13		1		0
39		14		4		2		0
39		14		6		2		0
39		9		1		0		0
0		7		6		68		18.06666666666666666666666667
14		12		3		3		0
14		13		4		3		0
25		2		0		1		0
25		3		3		3		0
27		9		1		3		0
28		10		5		1		0
28		11		0		3		0
28		2		1		12		13.12040133779264214046822742
28		3		6		12		9.839464882943143812709030100
3		0		12		3		0
3		3		11		68		32.45333333333333333333333333
3		3		9		3		0
32		6		1		3		0
33		10		0		3		0
33		11		3		12		20.67558528428093645484949833
17		0		0		1		0
19		0		2		0		0
20		2		5		1		0
21		4		10		0		0
21		7		3		2		0
34		0		3		1		0
39		0		4		1		0
0		6		1		0		0.07207207207207207207207207207
26		1		0		0		0.03603603603603603603603603604
27		8		0		0		0
37		3		1		2		0
37		4		4		174		148.4242424242424242424242424
37		5		9		4		0
7		4		4		174		275.6107382550335570469798658
7		7		1		4		0
9		0		4		2		0
9		0		6		1		0
9		1		9		174		172.0033783783783783783783784
11		0		4		3		0
11		0		6		3		0
14		12		1		3		0
14		5		0		3		0
15		0		12		3		0
17		0		2		35		3.498327759197324414715719064
19		0		0		3		0
22		2		13		68		56.97666666666666666666666667
24		0		5		3		0
24		2		1		1		0
26		1		2		1		0
27		9		3		35		14.62541806020066889632107023
34		0		1		1		0
37		2		0		1		0
37		2		2		1		0
37		5		11		3		0
14		5		2		2		0
7		7		3		1		0
24		0		7		0		0.07207207207207207207207207207
6		0		3		4		0
7		10		8		2		0
18		4		3		12		26.71571906354515050167224080
21		13		11		2		0
36		1		2		1		0
33		1		11		35		4.466442953020134228187919463
4		1		2		1		0
8		4		1		68		61.09060402684563758389261745
25		4		0		174		319.5986622073578595317725753
21		0		0		0		0.02727272727272727272727272727
0		6		3		2		0
0		7		4		4		0
21		3		13		2		0
25		0		8		35		2.862876254180602006688963211
25		2		2		3		0
25		3		1		1		0
28		2		3		4		0
28		3		4		1		0
32		4		13		3		0
33		10		2		4		0
39		1		5		1		0
39		6		0		1		0
21		6		2		0		0
33		11		1		12		9.819397993311036789297658863
33		9		7		12		11.22073578595317725752508361
21		4		8		0		0.03603603603603603603603603604
32		6		3		0		0.07272727272727272727272727273
10		0		8		1		0
11		0		13		3		0
14		12		8		4		0
14		15		3		1		0
14		6		2		3		0
14		7		1		1		0
20		2		2		3		0
26		4		8		1		0
34		2		0		1		0
37		6		5		4		0
37		7		6		35		2.936241610738255033557046980
4		10		4		3		0
4		11		3		1		0
7		7		8		1		0
9		1		0		2		0
9		2		5		2		0
14		15		5		68		33.11666666666666666666666667
16		6		4		174		200.6409395973154362416107383
16		7		3		12		21.41137123745819397993311037
17		1		4		174		233.7993311036789297658862876
24		6		0		0		0
24		7		1		68		47.45666666666666666666666667
26		3		1		174		158.9899665551839464882943144
26		5		7		68		37.54
28		10		2		12		8.234899328859060402684563758
3		0		11		0		0
34		5		3		68		34.30976430976430976430976431
35		0		11		68		23.18456375838926174496644295
37		2		9		0		0
39		13		8		0		0.07207207207207207207207207207
3		2		1		1		0
39		14		1		1		0
0		0		8		1		0
